"","X1","id","price","type","sqfeet","beds","baths","cats_allowed","dogs_allowed","smoking_allowed","wheelchair_access","comes_furnished","state","State Name","MedianIncome","Governor","Pop","LandArea(sqmi)","PopDensity","TaxRate","DeathPenalty","PctWhite","PctBlack"
"1167",111120,7038986102,1205,"apartment",1299,2,2,1,1,0,0,0,"ga","Georgia",58756,"R",10617423,59425,178.6693,0.86,1,52.6,31.1
"1168",328876,7050834679,550,"apartment",480,1,1,1,1,1,0,0,"tx","Texas",60629,"R",28295273,268596,105.3451,2.06,1,41.9,11.8
"1169",178139,7045520702,2300,"apartment",1200,3,1,0,0,1,0,0,"ma","Massachusetts",79835,"R",6892503,10554,653.0702,1.21,0,71.5,7
"1170",16526,7048373935,925,"apartment",962,2,2,1,1,1,0,0,"az","Arizona",59246,"R",7278717,113990,63.85399596,0.68,1,54.7,4.1
"1171",210138,7037688475,665,"apartment",997,2,2,1,1,0,0,0,"mo","Missouri",54478,"R",6137428,69707,88.04608,1.11,1,79.4,11.4
"1172",311728,7045065028,825,"apartment",750,1,1,1,1,1,0,0,"tn","Tennessee",52375,"R",6708799,42144,159.1875,0.54,1,73.9,16.6
"1173",321995,7050835422,918,"apartment",960,2,1,1,1,1,0,0,"tn","Tennessee",52375,"R",6708799,42144,159.1875,0.54,1,73.9,16.6
"1174",352985,7038474776,900,"apartment",830,2,1,1,1,1,0,0,"ut","Utah",71414,"R",3101042,84897,36.52711,0.65,1,78.3,1.2
"1175",17025,7047432158,550,"apartment",455,0,1,1,1,1,1,0,"az","Arizona",59246,"R",7278717,113990,63.85399596,0.68,1,54.7,4.1
"1176",269401,7049754144,780,"apartment",840,2,1,1,1,1,0,0,"oh","Ohio",56111,"R",11659650,44826,260.1091,1.68,1,78.9,12.2
"1177",290161,7023887404,1109,"apartment",870,1,1,1,1,1,0,0,"pa","Pennslyvania",60905,"D",12787641,46054,277.6662,1.89,1,76.4,10.7
"1178",126441,7033602319,1455,"apartment",976,2,2,0,0,0,0,0,"il","Illinois",65030,"D",12671821,57914,218.8041,2.13,0,61.2,14
"1179",245445,7041860627,799,"apartment",520,0,1,1,1,1,0,0,"nm","New Mexico",47160,"D",2096829,121590,17.24508,0.97,0,37.4,1.8
"1180",232975,7038396023,1550,"apartment",1426,2,2,1,1,1,0,0,"ne","Nebraska",59566,"R",1934408,77348,25.00915,1.5,1,79,4.5
"1181",229903,7041564304,725,"apartment",770,2,1,1,1,1,0,0,"nc","North Carolina",53855,"D",10488084,53819,194.877,0.78,1,63,21.2
"1182",138547,7048435228,745,"apartment",930,2,2,1,1,1,1,0,"in","Indiana",55746,"R",6732219,36420,184.8495,0.94,1,79.2,9.2
